Фамилия_Номер_покупки,Продукт,Стоимость,Тип,Время покупки
Байдаков_27,Томаты,172,Еда,18:00
Байдаков_28,Сидр,269,Алкоголь,3:35
Байдаков_28,Сигареты,101,Сигареты,3:36
Байдаков_29,Пиво,720,Алкоголь,1:55
Байдаков_29,Сухарики,90,Фастфуд,1:56
Байдаков_30,Фарш,412,Еда,17:30
Байдаков_30,Курица,385,Еда,17:30
Байдаков_31,Сидр,273,Алкоголь,4:45
Байдаков_31,Сигареты,104,Сигареты,4:46
Байдаков_32,Пиво,740,Алкоголь,23:30
Байдаков_32,Чипсы,134,Фастфуд,23:31
Байдаков_33,Фарш,408,Еда,18:50
Байдаков_33,Макароны,134,Бакалея,18:50
Байдаков_34,Сидр,277,Алкоголь,3:20
Байдаков_34,Сигареты,102,Сигареты,3:21
Байдаков_35,Пиво,1450,Алкоголь,0:20
Байдаков_35,Чипсы,129,Фастфуд,0:21
Байдаков_36,Фарш,422,Еда,19:10
Байдаков_36,Курица,378,Еда,19:10
Байдаков_37,Сидр,271,Алкоголь,4:05
Байдаков_37,Сигареты,103,Сигареты,4:06
Байдаков_38,Пиво,725,Алкоголь,1:00
Байдаков_38,Сухарики,88,Фастфуд,1:01
Байдаков_39,Фарш,416,Еда,17:20
Байдаков_39,Томаты,175,Еда,17:20
Байдаков_40,Сидр,274,Алкоголь,3:50
Байдаков_40,Сигареты,101,Сигареты,3:51
Байдаков_41,Пиво,735,Алкоголь,23:00
Байдаков_41,Чипсы,132,Фастфуд,23:01
Байдаков_42,Фарш,410,Еда,18:35
Байдаков_42,Макароны,137,Бакалея,18:35
Байдаков_43,Сидр,276,Алкоголь,4:25
Байдаков_43,Сигареты,104,Сигареты,4:26
Байдаков_44,Пиво,720,Алкоголь,0:30
Байдаков_44,Сухарики,90,Фастфуд,0:31
Байдаков_45,Фарш,419,Еда,19:00
Байдаков_45,Курица,382,Еда,19:00
Байдаков_46,Сидр,269,Алкоголь,3:10
Байдаков_46,Сигареты,100,Сигареты,3:11
Байдаков_47,Пиво,730,Алкоголь,23:40
Байдаков_47,Чипсы,130,Фастфуд,23:41
Байдаков_48,Фарш,414,Еда,18:10
Байдаков_48,Томаты,168,Еда,18:10
Байдаков_49,Сидр,272,Алкоголь,4:15
Байдаков_49,Сигареты,102,Сигареты,4:16
Байдаков_50,Пиво,1450,Алкоголь,1:20
Байдаков_50,Чипсы,133,Фастфуд,1:21
Байдаков_50,Сухарики,91,Фастфуд,1:22
Бромберг_1,Сыр,610,Еда,19:10
Бромберг_1,Колбаса,350,Еда,19:10
Бромберг_1,Хлеб,60,Еда,19:10
Бромберг_1,Сметана,92,Еда,19:10
Бромберг_2,Сыр,595,Еда,18:30
Бромберг_2,Колбаса,360,Еда,18:30
Бромберг_2,Хлеб,62,Еда,18:30
Бромберг_3,Сыр,620,Еда,19:25
Бромберг_3,Колбаса,345,Еда,19:25
Бромберг_3,Кефир,90,Напитки,19:25
Бромберг_4,Сыр,580,Еда,17:45
Бромберг_4,Сосиски,320,Еда,17:45
Бромберг_5,Сыр,605,Еда,18:50
Бромберг_5,Хлеб,58,Еда,18:50
Бромберг_6,Колбаса,355,Еда,19:00
Бромберг_6,Сметана,90,Еда,19:00
Бромберг_7,Сыр,615,Еда,18:20
Бромберг_7,Колбаса,350,Еда,18:20
Бромберг_7,Хлеб,63,Еда,18:20
Бромберг_8,Сыр,600,Еда,19:30
Бромберг_8,Кефир,92,Напитки,19:30
Бромберг_9,Сыр,610,Еда,17:55
Бромберг_9,Сосиски,315,Еда,17:55
Бромберг_10,Колбаса,360,Еда,18:45
Бромберг_10,Сметана,94,Еда,18:45
Бромберг_11,Сыр,605,Еда,19:15
Бромберг_11,Хлеб,60,Еда,19:15
Бромберг_12,Сыр,620,Еда,18:10
Бромберг_12,Колбаса,345,Еда,18:10
Бромберг_13,Кефир,89,Напитки,19:40
Бромберг_13,Сметана,91,Еда,19:40
Бромберг_14,Сыр,590,Еда,17:35
Бромберг_14,Сосиски,325,Еда,17:35
Бромберг_15,Колбаса,355,Еда,18:55
Бромберг_15,Хлеб,61,Еда,18:55
Бромберг_16,Сыр,615,Еда,19:05
Бромберг_16,Кефир,90,Напитки,19:05
Бромберг_17,Сыр,600,Еда,18:25
Бромберг_17,Сметана,93,Еда,18:25
Бромберг_18,Колбаса,350,Еда,19:20
Бромберг_18,Хлеб,59,Еда,19:20
Бромберг_19,Сыр,610,Еда,17:50
Бромберг_19,Сосиски,318,Еда,17:50
Бромберг_20,Сыр,605,Еда,18:40
Бромберг_20,Кефир,91,Напитки,18:40
Бромберг_21,Колбаса,360,Еда,19:10
Бромберг_21,Сметана,92,Еда,19:10
Бромберг_22,Сыр,620,Еда,18:15
Бромберг_22,Хлеб,62,Еда,18:15
Бромберг_23,Сыр,595,Еда,19:35
Бромберг_23,Сосиски,320,Еда,19:35
Бромберг_24,Колбаса,345,Еда,18:05
Бромберг_24,Кефир,88,Напитки,18:05
Бромберг_25,Сыр,610,Еда,19:25
Бромберг_25,Сметана,90,Еда,19:25
Бромберг_26,Сыр,600,Еда,17:45
Бромберг_26,Хлеб,60,Еда,17:45
Бромберг_27,Колбаса,355,Еда,18:50
Бромберг_27,Сосиски,315,Еда,18:50
Бромберг_28,Сыр,615,Еда,19:00
Бромберг_28,Кефир,92,Напитки,19:00
Бромберг_29,Сыр,605,Еда,18:30
Бромберг_29,Сметана,91,Еда,18:30
Бромберг_30,Колбаса,350,Еда,19:15
Бромберг_30,Хлеб,61,Еда,19:15
Бромберг_31,Сыр,620,Еда,17:55
Бромберг_31,Сосиски,322,Еда,17:55
Бромберг_32,Сыр,590,Еда,18:20
Бромберг_32,Кефир,90,Напитки,18:20
Бромберг_33,Колбаса,360,Еда,19:40
Бромберг_33,Сметана,93,Еда,19:40
Бромберг_34,Сыр,610,Еда,18:10
Бромберг_34,Хлеб,58,Еда,18:10
Бромберг_35,Сыр,600,Еда,19:30
Бромберг_35,Сосиски,318,Еда,19:30
Бромберг_36,Колбаса,345,Еда,18:45
Бромберг_36,Кефир,89,Напитки,18:45
Бромберг_37,Сыр,615,Еда,19:05
Бромберг_37,Сметана,92,Еда,19:05
Бромберг_38,Сыр,605,Еда,17:40
Бромберг_38,Хлеб,62,Еда,17:40
Бромберг_39,Колбаса,355,Еда,18:55
Бромберг_39,Сосиски,320,Еда,18:55
Бромберг_40,Сыр,620,Еда,19:20
Бромберг_40,Кефир,91,Напитки,19:20
Бромберг_41,Сыр,595,Еда,18:25
Бромберг_41,Сметана,90,Еда,18:25
Бромберг_42,Колбаса,350,Еда,19:10
Бромберг_42,Хлеб,60,Еда,19:10
Бромберг_43,Сыр,610,Еда,17:50
Бромберг_43,Сосиски,315,Еда,17:50
Бромберг_44,Сыр,600,Еда,18:35
Бромберг_44,Кефир,92,Напитки,18:35
Бромберг_45,Колбаса,360,Еда,19:45
Бромберг_45,Сметана,93,Еда,19:45
Бромберг_46,Сыр,615,Еда,18:15
Бромберг_46,Хлеб,61,Еда,18:15
Бромберг_47,Сыр,605,Еда,19:25
Бромберг_47,Сосиски,322,Еда,19:25
Бромберг_48,Колбаса,345,Еда,18:05
Бромберг_48,Кефир,90,Напитки,18:05
Бромберг_49,Сыр,620,Еда,19:35
Бромберг_49,Сметана,91,Еда,19:35
Бромберг_50,Сыр,610,Еда,18:40
Бромберг_50,Колбаса,350,Еда,18:40
Бромберг_50,Хлеб,62,Еда,18:40
Варданян_1,Курица,385,Еда,16:30
Варданян_1,Гречка,128,Бакалея,16:30
Варданян_1,Творог,208,Еда,16:30
Варданян_1,Протеиновое печенье,96,Сладости,16:30
Варданян_2,Курица,375,Еда,15:20
Варданян_2,Рис,115,Бакалея,15:20
Варданян_2,Творог,205,Еда,15:20
Варданян_3,Булгур,132,Бакалея,16:45
Варданян_3,Курица,390,Еда,16:45
Варданян_3,Протеиновое печенье,97,Сладости,16:45
Варданян_4,Гречка,126,Бакалея,15:10
Варданян_4,Курица,380,Еда,15:10
Варданян_4,Творог,210,Еда,15:10
Варданян_5,Рис,112,Бакалея,16:20
Варданян_5,Курица,385,Еда,16:20
Варданян_5,Протеиновое печенье,95,Сладости,16:20
Варданян_6,Булгур,130,Бакалея,15:40
Варданян_6,Курица,378,Еда,15:40
Варданян_6,Творог,207,Еда,15:40
Варданян_7,Гречка,129,Бакалея,16:55
Варданян_7,Курица,392,Еда,16:55
Варданян_7,Протеиновое печенье,98,Сладости,16:55
Варданян_8,Рис,118,Бакалея,15:15
Варданян_8,Курица,370,Еда,15:15
Варданян_8,Творог,208,Еда,15:15
Варданян_9,Булгур,135,Бакалея,16:30
Варданян_9,Курица,388,Еда,16:30
Варданян_9,Протеиновое печенье,94,Сладости,16:30
Варданян_10,Гречка,127,Бакалея,15:50
Варданян_10,Курица,382,Еда,15:50
Варданян_10,Творог,206,Еда,15:50
Варданян_11,Рис,114,Бакалея,16:15
Варданян_11,Курица,388,Еда,16:15
Варданян_11,Протеиновое печенье,97,Сладости,16:15
Варданян_12,Булгур,133,Бакалея,15:30
Варданян_12,Курица,376,Еда,15:30
Варданян_12,Творог,209,Еда,15:30
Варданян_13,Гречка,125,Бакалея,17:00
Варданян_13,Курица,391,Еда,17:00
Варданян_13,Протеиновое печенье,95,Сладости,17:00
Варданян_14,Рис,116,Бакалея,14:45
Варданян_14,Курица,379,Еда,14:45
Варданян_14,Творог,207,Еда,14:45
Варданян_15,Булгур,131,Бакалея,16:40
Варданян_15,Курица,385,Еда,16:40
Варданян_15,Протеиновое печенье,98,Сладости,16:40
Варданян_16,Гречка,128,Бакалея,15:05
Варданян_16,Курица,384,Еда,15:05
Варданян_16,Творог,205,Еда,15:05
Варданян_17,Рис,113,Бакалея,16:55
Варданян_17,Курица,390,Еда,16:55
Варданян_17,Протеиновое печенье,96,Сладости,16:55
Варданян_18,Булгур,134,Бакалея,15:20
Варданян_18,Курица,377,Еда,15:20
Варданян_18,Творог,208,Еда,15:20
Варданян_19,Гречка,126,Бакалея,17:10
Варданян_19,Курица,389,Еда,17:10
Варданян_19,Протеиновое печенье,94,Сладости,17:10
Варданян_20,Рис,117,Бакалея,14:30
Варданян_20,Курица,381,Еда,14:30
Варданян_20,Творог,210,Еда,14:30
Варданян_21,Курица,386,Еда,16:00
Варданян_21,Гречка,129,Бакалея,16:00
Варданян_21,Протеиновое печенье,97,Сладости,16:00
Варданян_22,Творог,206,Еда,15:35
Варданян_22,Булгур,132,Бакалея,15:35
Варданян_22,Курица,383,Еда,15:35
Варданян_23,Рис,115,Бакалея,16:25
Варданян_23,Курица,387,Еда,16:25
Варданян_24,Гречка,127,Бакалея,15:55
Варданян_24,Протеиновое печенье,95,Сладости,15:55
Варданян_24,Курица,380,Еда,15:55
Варданян_25,Творог,208,Еда,16:45
Варданян_25,Рис,118,Бакалея,16:45
Варданян_25,Курица,392,Еда,16:45
Варданян_26,Булгур,130,Бакалея,15:10
Варданян_26,Курица,378,Еда,15:10
Варданян_26,Протеиновое печенье,98,Сладости,15:10
Варданян_27,Гречка,128,Бакалея,17:20
Варданян_27,Курица,385,Еда,17:20
Варданян_28,Рис,114,Бакалея,14:55
Варданян_28,Творог,207,Еда,14:55
Варданян_28,Курица,379,Еда,14:55
Варданян_29,Протеиновое печенье,96,Сладости,16:10
Варданян_29,Булгур,133,Бакалея,16:10
Варданян_29,Курица,390,Еда,16:10
Варданян_30,Гречка,126,Бакалея,15:45
Варданян_30,Курица,384,Еда,15:45
Варданян_30,Творог,205,Еда,15:45
Варданян_31,Рис,116,Бакалея,16:35
Варданян_31,Курица,388,Еда,16:35
Варданян_32,Булгур,131,Бакалея,15:25
Варданян_32,Протеиновое печенье,97,Сладости,15:25
Варданян_32,Курица,382,Еда,15:25
Варданян_33,Гречка,129,Бакалея,17:05
Варданян_33,Творог,209,Еда,17:05
Варданян_34,Рис,113,Бакалея,14:40
Варданян_34,Курица,386,Еда,14:40
Варданян_35,Протеиновое печенье,95,Сладости,16:20
Варданян_35,Булгур,134,Бакалея,16:20
Варданян_36,Курица,381,Еда,15:00
Варданян_36,Гречка,127,Бакалея,15:00
Варданян_37,Творог,206,Еда,16:50
Варданян_37,Рис,117,Бакалея,16:50
Варданян_38,Курица,389,Еда,15:15
Варданян_38,Протеиновое печенье,98,Сладости,15:15
Варданян_39,Булгур,132,Бакалея,17:15
Варданян_39,Курица,377,Еда,17:15
Варданян_40,Гречка,125,Бакалея,15:40
Варданян_40,Творог,208,Еда,15:40
Варданян_41,Рис,115,Бакалея,16:05
Варданян_41,Курица,383,Еда,16:05
Варданян_42,Протеиновое печенье,96,Сладости,14:50
Варданян_42,Булгур,130,Бакалея,14:50
Варданян_43,Курица,390,Еда,16:30
Варданян_43,Гречка,128,Бакалея,16:30
Варданян_44,Творог,207,Еда,15:55
Варданян_44,Рис,114,Бакалея,15:55
Варданян_45,Курица,385,Еда,17:25
Варданян_45,Протеиновое печенье,94,Сладости,17:25
Варданян_46,Булгур,133,Бакалея,15:20
Варданян_46,Курица,379,Еда,15:20
Варданян_47,Гречка,126,Бакалея,16:45
Варданян_47,Творог,210,Еда,16:45
Варданян_48,Рис,118,Бакалея,14:35
Варданян_48,Курица,387,Еда,14:35
Варданян_49,Протеиновое печенье,97,Сладости,16:10
Варданян_49,Булгур,131,Бакалея,16:10
Варданян_50,Курица,384,Еда,15:05
Варданян_50,Гречка,129,Бакалея,15:05
Варданян_50,Творог,206,Еда,15:05
Волков_1,Шоколад,890,Сладости,18:30
Волков_1,Круассаны,202,Сладости,18:30
Волков_1,Торт,1200,Сладости,18:30
Волков_2,Шоколад,860,Сладости,19:15
Волков_2,Пирожное,680,Сладости,19:15
Волков_3,Круассаны,198,Сладости,17:50
Волков_3,Торт,1160,Сладости,17:50
Волков_4,Шоколад,900,Сладости,18:45
Волков_4,Круассаны,205,Сладости,18:45
Волков_5,Пирожное,670,Сладости,19:20
Волков_5,Торт,1180,Сладости,19:20
Волков_6,Шоколад,880,Сладости,18:10
Волков_6,Круассаны,200,Сладости,18:10
Волков_7,Торт,1220,Сладости,19:35
Волков_7,Шоколад,870,Сладости,19:35
Волков_8,Пирожное,690,Сладости,17:40
Волков_8,Круассаны,195,Сладости,17:40
Волков_9,Шоколад,910,Сладости,18:55
Волков_9,Торт,1190,Сладости,18:55
Волков_10,Круассаны,204,Сладости,19:00
Волков_10,Пирожное,675,Сладости,19:00
Волков_11,Шоколад,885,Сладости,18:20
Волков_11,Круассаны,200,Сладости,18:20
Волков_11,Торт,1170,Сладости,18:20
Волков_12,Пирожное,680,Сладости,19:10
Волков_12,Шоколад,895,Сладости,19:10
Волков_13,Круассаны,198,Сладости,17:55
Волков_13,Торт,1210,Сладости,17:55
Волков_14,Шоколад,875,Сладости,18:40
Волков_14,Пирожное,665,Сладости,18:40
Волков_15,Круассаны,205,Сладости,19:25
Волков_15,Торт,1190,Сладости,19:25
Волков_16,Шоколад,905,Сладости,18:15
Волков_16,Круассаны,199,Сладости,18:15
Волков_17,Торт,1180,Сладости,19:45
Волков_17,Пирожное,685,Сладости,19:45
Волков_18,Шоколад,880,Сладости,18:05
Волков_18,Круассаны,202,Сладости,18:05
Волков_19,Торт,1200,Сладости,19:30
Волков_19,Шоколад,890,Сладости,19:30
Волков_20,Пирожное,670,Сладости,17:35
Волков_20,Круассаны,200,Сладости,17:35
Волков_21,Шоколад,900,Сладости,18:50
Волков_21,Торт,1160,Сладости,18:50
Волков_22,Круассаны,204,Сладости,19:05
Волков_22,Пирожное,675,Сладости,19:05
Волков_23,Шоколад,870,Сладости,18:25
Волков_23,Торт,1220,Сладости,18:25
Волков_24,Круассаны,197,Сладости,19:40
Волков_24,Шоколад,885,Сладости,19:40
Волков_25,Пирожное,690,Сладости,17:50
Волков_25,Торт,1175,Сладости,17:50
Волков_26,Шоколад,910,Сладости,18:35
Волков_26,Круассаны,201,Сладости,18:35
Волков_27,Торт,1195,Сладости,19:15
Волков_27,Пирожное,665,Сладости,19:15
Волков_28,Шоколад,880,Сладости,18:10
Волков_28,Круассаны,203,Сладости,18:10
Волков_29,Торт,1210,Сладости,19:55
Волков_29,Шоколад,895,Сладости,19:55
Волков_30,Пирожное,680,Сладости,17:45
Волков_30,Круассаны,199,Сладости,17:45
Волков_31,Шоколад,905,Сладости,18:45
Волков_31,Торт,1180,Сладости,18:45
Волков_32,Круассаны,200,Сладости,19:20
Волков_32,Пирожное,670,Сладости,19:20
Волков_33,Шоколад,890,Сладости,18:00
Волков_33,Торт,1200,Сладости,18:00
Волков_34,Круассаны,205,Сладости,19:35
Волков_34,Шоколад,875,Сладости,19:35
Волков_35,Пирожное,685,Сладости,17:55
Волков_35,Торт,1165,Сладости,17:55
Волков_36,Шоколад,900,Сладости,18:30
Волков_36,Круассаны,198,Сладости,18:30
Волков_37,Торт,1190,Сладости,19:10
Волков_37,Пирожное,675,Сладости,19:10
Волков_38,Шоколад,885,Сладости,18:20
Волков_38,Круассаны,202,Сладости,18:20
Волков_39,Торт,1215,Сладости,19:50
Волков_39,Шоколад,910,Сладости,19:50
Волков_40,Пирожное,670,Сладости,17:40
Волков_40,Круассаны,200,Сладости,17:40
Волков_41,Шоколад,895,Сладости,18:55
Волков_41,Торт,1175,Сладости,18:55
Волков_42,Круассаны,204,Сладости,19:25
Волков_42,Пирожное,680,Сладости,19:25
Волков_43,Шоколад,880,Сладости,18:15
Волков_43,Торт,1205,Сладости,18:15
Волков_44,Круассаны,199,Сладости,19:05
Волков_44,Шоколад,890,Сладости,19:05
Волков_45,Пирожное,665,Сладости,17:30
Волков_45,Торт,1185,Сладости,17:30
Волков_46,Шоколад,905,Сладости,18:40
Волков_46,Круассаны,201,Сладости,18:40
Волков_47,Торт,1195,Сладости,19:45
Волков_47,Пирожное,675,Сладости,19:45
Волков_48,Шоколад,875,Сладости,18:05
Волков_48,Круассаны,203,Сладости,18:05
Волков_49,Торт,1210,Сладости,19:20
Волков_49,Шоколад,900,Сладости,19:20
Волков_50,Пирожное,685,Сладости,17:55
Волков_50,Круассаны,200,Сладости,17:55
Волков_50,Торт,1180,Сладости,17:55
Вренев_1,Бургер,390,Фастфуд,15:20
Вренев_1,Картофель фри,108,Фастфуд,15:20
Вренев_1,Кола,132,Напитки,15:20
Вренев_2,Наггетсы,280,Фастфуд,14:45
Вренев_2,Кола,130,Напитки,14:45
Вренев_3,Бургер,350,Фастфуд,16:10
Вренев_3,Картофель фри,105,Фастфуд,16:10
Вренев_4,Мороженое,220,Сладости,13:30
Вренев_4,Кола,128,Напитки,13:30
Вренев_5,Бургер,380,Фастфуд,17:00
Вренев_5,Наггетсы,275,Фастфуд,17:00
Вренев_6,Картофель фри,110,Фастфуд,12:55
Вренев_6,Кола,135,Напитки,12:55
Вренев_7,Бургер,360,Фастфуд,15:40
Вренев_7,Мороженое,215,Сладости,15:40
Вренев_8,Наггетсы,285,Фастфуд,16:25
Вренев_8,Кола,133,Напитки,16:25
Вренев_9,Бургер,395,Фастфуд,14:15
Вренев_9,Картофель фри,107,Фастфуд,14:15
Вренев_10,Мороженое,225,Сладости,17:35
Вренев_10,Кола,129,Напитки,17:35
Вренев_11,Бургер,370,Фастфуд,15:50
Вренев_11,Картофель фри,106,Фастфуд,15:50
Вренев_11,Кола,131,Напитки,15:50
Вренев_12,Наггетсы,278,Фастфуд,13:40
Вренев_12,Мороженое,218,Сладости,13:40
Вренев_13,Бургер,385,Фастфуд,16:30
Вренев_13,Кола,134,Напитки,16:30
Вренев_14,Картофель фри,109,Фастфуд,14:20
Вренев_14,Наггетсы,282,Фастфуд,14:20
Вренев_15,Бургер,375,Фастфуд,17:15
Вренев_15,Мороженое,220,Сладости,17:15
Вренев_16,Кола,130,Напитки,12:45
Вренев_16,Картофель фри,105,Фастфуд,12:45
Вренев_17,Бургер,392,Фастфуд,15:05
Вренев_17,Наггетсы,280,Фастфуд,15:05
Вренев_18,Мороженое,223,Сладости,16:55
Вренев_18,Кола,132,Напитки,16:55
Вренев_19,Бургер,365,Фастфуд,14:35
Вренев_19,Картофель фри,108,Фастфуд,14:35
Вренев_20,Наггетсы,285,Фастфуд,17:40
Вренев_20,Кола,129,Напитки,17:40
Вренев_21,Бургер,388,Фастфуд,15:25
Вренев_21,Мороженое,219,Сладости,15:25
Вренев_22,Картофель фри,107,Фастфуд,13:10
Вренев_22,Кола,133,Напитки,13:10
Вренев_23,Наггетсы,279,Фастфуд,16:15
Вренев_23,Бургер,380,Фастфуд,16:15
Вренев_24,Мороженое,221,Сладости,18:00
Вренев_25,Кола,128,Напитки,18:00
Вренев_26,Бургер,372,Фастфуд,14:50
Вренев_26,Картофель фри,110,Фастфуд,14:50
Вренев_27,Наггетсы,283,Фастфуд,15:55
Вренев_27,Кола,135,Напитки,15:55
Вренев_28,Бургер,395,Фастфуд,17:20
Вренев_28,Мороженое,225,Сладости,17:20
Вренев_29,Картофель фри,106,Фастфуд,13:25
Вренев_29,Кола,130,Напитки,13:25
Вренев_30,Бургер,378,Фастфуд,16:40
Вренев_30,Наггетсы,281,Фастфуд,16:40
Вренев_31,Мороженое,217,Сладости,14:05
Вренев_31,Кола,131,Напитки,14:05
Вренев_32,Бургер,382,Фастфуд,15:35
Вренев_32,Картофель фри,109,Фастфуд,15:35
Вренев_33,Наггетсы,277,Фастфуд,17:05
Вренев_33,Кола,134,Напитки,17:05
Вренев_34,Бургер,390,Фастфуд,16:00
Вренев_34,Мороженое,222,Сладости,16:00
Вренев_35,Картофель фри,108,Фастфуд,13:50
Вренев_35,Кола,129,Напитки,13:50
Вренев_36,Бургер,375,Фастфуд,15:10
Вренев_36,Наггетсы,284,Фастфуд,15:10
Вренев_37,Мороженое,220,Сладости,17:50
Вренев_37,Кола,132,Напитки,17:50
Вренев_38,Бургер,385,Фастфуд,14:30
Вренев_38,Картофель фри,107,Фастфуд,14:30
Вренев_39,Наггетсы,280,Фастфуд,16:20
Вренев_39,Кола,130,Напитки,16:20
Вренев_40,Бургер,388,Фастфуд,15:45
Вренев_40,Мороженое,224,Сладости,15:45
Вренев_41,Картофель фри,105,Фастфуд,13:15
Вренев_41,Кола,133,Напитки,13:15
Вренев_42,Бургер,370,Фастфуд,17:30
Вренев_42,Наггетсы,282,Фастфуд,17:30
Вренев_43,Мороженое,218,Сладости,14:55
Вренев_43,Кола,131,Напитки,14:55
Вренев_44,Бургер,392,Фастфуд,16:35
Вренев_44,Картофель фри,110,Фастфуд,16:35
Вренев_45,Наггетсы,279,Фастфуд,15:00
Вренев_45,Кола,128,Напитки,15:00
Вренев_46,Бургер,380,Фастфуд,17:10
Вренев_46,Мороженое,221,Сладости,17:10
Вренев_47,Картофель фри,108,Фастфуд,13:25
Вренев_47,Кола,135,Напитки,13:25
Вренев_48,Бургер,377,Фастфуд,16:50
Вренев_48,Наггетсы,285,Фастфуд,16:50
Вренев_49,Мороженое,219,Сладости,14:40
Вренев_49,Кола,130,Напитки,14:40
Вренев_50,Бургер,390,Фастфуд,15:55
Вренев_50,Картофель фри,109,Фастфуд,15:55
Вренев_50,Кола,132,Напитки,15:55
Гилязетдинов_1,Молоко,110,Напитки,10:15
Гилязетдинов_1,Хлеб,65,Еда,10:15
Гилязетдинов_1,Яйца,120,Еда,10:15
Гилязетдинов_1,Курица,375,Еда,10:15
Гилязетдинов_2,Кефир,95,Напитки,11:30
Гилязетдинов_2,Творог,200,Еда,11:30
Гилязетдинов_2,Гречка,130,Бакалея,11:30
Гилязетдинов_3,Рис,115,Бакалея,9:45
Гилязетдинов_3,Курица,370,Еда,9:45
Гилязетдинов_3,Овсянка,90,Еда,9:45
Гилязетдинов_4,Молоко,108,Напитки,10:50
Гилязетдинов_4,Яйца,118,Еда,10:50
Гилязетдинов_4,Хлеб,68,Еда,10:50
Гилязетдинов_5,Йогурт,85,Напитки,12:10
Гилязетдинов_5,Овсянка,90,Еда,12:10
Гилязетдинов_5,Творог,202,Еда,12:10
Гилязетдинов_6,Гречка,128,Бакалея,11:20
Гилязетдинов_6,Курица,375,Еда,11:20
Гилязетдинов_6,Молоко,112,Напитки,11:20
Гилязетдинов_7,Кефир,93,Напитки,10:05
Гилязетдинов_7,Рис,112,Бакалея,10:05
Гилязетдинов_7,Яйца,119,Еда,10:05
Гилязетдинов_8,Хлеб,66,Еда,9:30
Гилязетдинов_8,Творог,205,Еда,9:30
Гилязетдинов_8,Курица,372,Еда,9:30
Гилязетдинов_9,Молоко,109,Напитки,11:55
Гилязетдинов_9,Овсянка,88,Еда,11:55
Гилязетдинов_9,Яйца,117,Еда,11:55
Гилязетдинов_10,Гречка,130,Бакалея,10:40
Гилязетдинов_10,Кефир,94,Напитки,10:40
Гилязетдинов_10,Рис,116,Бакалея,10:40
